TC-BPM1:POS.PX,timestamp,TCBPM1X
TC-BPM1:POS.PX,1546418608.741122,-2.596400817502289
TC-BPM1:POS.PX,1546418608.843112,-1.9538360447613483
TC-BPM1:POS.PX,1546418608.945081,-2.3611442709865575
TC-BPM1:POS.PX,1546418609.047042,-2.2268117716815974
TC-BPM1:POS.PX,1546418609.14901,-2.0383932456294467
TC-BPM1:POS.PX,1546418609.251,-1.683797111256509
TC-BPM1:POS.PX,1546418609.352969,-1.8526919598534155
TC-BPM1:POS.PX,1546418609.45502,-1.763799300812911
TC-BPM1:POS.PX,1546418609.556939,-2.145391954562083
TC-BPM1:POS.PX,1546418609.658914,-1.9655470248604698
TC-BPM1:POS.PX,1546418609.7609,-2.466383025077718
TC-BPM1:POS.PX,1546418609.862888,-2.0284514652604937
TC-BPM1:POS.PX,1546418609.964867,-2.100646932115101
TC-BPM1:POS.PX,1546418610.066845,-2.1199556003481623
TC-BPM1:POS.PX,1546418610.168796,-2.0998325287766257
TC-BPM1:POS.PX,1546418610.270851,-2.2486113736522304
TC-BPM1:POS.PX,1546418610.372765,-1.5438836739455533
TC-BPM1:POS.PX,1546418610.474733,-1.7867666224687857
TC-BPM1:POS.PX,1546418610.576732,-2.0657849987928834
TC-BPM1:POS.PX,1546418610.678689,-2.0004041512243083
TC-BPM1:POS.PX,1546418610.78068,-1.5267287489738168
TC-BPM1:POS.PX,1546418610.882644,-2.3295076485085042
TC-BPM1:POS.PX,1546418610.984627,-1.587644568777806
TC-BPM1:POS.PX,1546418611.086617,-1.7711873680079828
TC-BPM1:POS.PX,1546418611.188609,-2.388529411839514
TC-BPM1:POS.PX,1546418611.290556,-1.9986571035231584
TC-BPM1:POS.PX,1546418611.392538,-2.2048692656846574
TC-BPM1:POS.PX,1546418611.494533,-1.6772558480027
TC-BPM1:POS.PX,1546418611.59557,-1.726190512583729
TC-BPM1:POS.PX,1546418611.697476,-2.1382222277806857
TC-BPM1:POS.PX,1546418611.799458,-2.2639018302682903
TC-BPM1:POS.PX,1546418611.901432,-1.7568555234086627
TC-BPM1:POS.PX,1546418612.003421,-1.7120983011080777
TC-BPM1:POS.PX,1546418612.104401,-2.025023754523014
TC-BPM1:POS.PX,1546418612.206442,-2.150474310921964
TC-BPM1:POS.PX,1546418612.308372,-2.1688686732179963
TC-BPM1:POS.PX,1546418612.410322,-2.073165150626787
TC-BPM1:POS.PX,1546418612.512299,-1.998390258963498
TC-BPM1:POS.PX,1546418612.614281,-1.6456383524954843
TC-BPM1:POS.PX,1546418612.716257,-2.0680542903454326
TC-BPM1:POS.PX,1546418612.818247,-2.1406365178605182
TC-BPM1:POS.PX,1546418612.920215,-1.9027410419682844
TC-BPM1:POS.PX,1546418613.022189,-2.0477656626838803
TC-BPM1:POS.PX,1546418613.124171,-1.9414869029027513
TC-BPM1:POS.PX,1546418613.226147,-2.1859099125026287
TC-BPM1:POS.PX,1546418613.328162,-2.1864101159989144
TC-BPM1:POS.PX,1546418613.430105,-1.8696421471134292
TC-BPM1:POS.PX,1546418613.532086,-2.008338474835724
TC-BPM1:POS.PX,1546418613.634054,-1.7685193622240196
TC-BPM1:POS.PX,1546418613.736051,-1.7380382892179265
TC-BPM1:POS.PX,1546418613.838016,-1.6738552702990703
TC-BPM1:POS.PX,1546418613.940003,-1.6198198686788017
TC-BPM1:POS.PX,1546418614.042048,-1.9771195763834113
TC-BPM1:POS.PX,1546418614.14396,-1.902891233859627
TC-BPM1:POS.PX,1546418614.245928,-1.7206597727710844
TC-BPM1:POS.PX,1546418614.347922,-1.9907946830180134
TC-BPM1:POS.PX,1546418614.449884,-2.1546725764070107
TC-BPM1:POS.PX,1546418614.551859,-2.103112937732974
TC-BPM1:POS.PX,1546418614.653866,-1.9636165240263705
TC-BPM1:POS.PX,1546418614.755857,-2.0079708563163514
TC-BPM1:POS.PX,1546418614.857815,-2.1544407794039944
TC-BPM1:POS.PX,1546418614.959816,-2.071296854729922
TC-BPM1:POS.PX,1546418615.061784,-2.0874043511316107
TC-BPM1:POS.PX,1546418615.163741,-1.9647992349357102
TC-BPM1:POS.PX,1546418615.265743,-2.451670022163888
TC-BPM1:POS.PX,1546418615.367741,-1.7627136006418345
TC-BPM1:POS.PX,1546418615.469681,-1.6142212199468742
TC-BPM1:POS.PX,1546418615.571658,-1.8755324159735927
TC-BPM1:POS.PX,1546418615.673637,-1.4122656626135937
TC-BPM1:POS.PX,1546418615.775611,-2.1116102884975043
TC-BPM1:POS.PX,1546418615.877603,-2.074407966795233
TC-BPM1:POS.PX,1546418615.979632,-2.1566125273185213
TC-BPM1:POS.PX,1546418616.081531,-2.2940632347052508
TC-BPM1:POS.PX,1546418616.183518,-2.2674101081161293
TC-BPM1:POS.PX,1546418616.285499,-1.8475087172499316
TC-BPM1:POS.PX,1546418616.387512,-1.99601894158122
TC-BPM1:POS.PX,1546418616.489453,-1.6268079321595619
TC-BPM1:POS.PX,1546418616.591417,-2.0900300668877083
TC-BPM1:POS.PX,1546418616.693398,-2.185211342329903
TC-BPM1:POS.PX,1546418616.795372,-2.0118016515899972
TC-BPM1:POS.PX,1546418616.897357,-2.1005641829435326
TC-BPM1:POS.PX,1546418616.999346,-2.6280572915407916
TC-BPM1:POS.PX,1546418617.101314,-2.123054460934937
TC-BPM1:POS.PX,1546418617.203311,-2.0230033581853744
TC-BPM1:POS.PX,1546418617.305282,-2.1458765440242327
TC-BPM1:POS.PX,1546418617.407281,-2.0871065922613847
TC-BPM1:POS.PX,1546418617.509253,-1.9253076955157344
TC-BPM1:POS.PX,1546418617.611201,-2.359300374836383
TC-BPM1:POS.PX,1546418617.713191,-2.84728347740819
TC-BPM1:POS.PX,1546418617.815517,-2.1028894820486586
TC-BPM1:POS.PX,1546418617.91615,-2.346083400566496
TC-BPM1:POS.PX,1546418618.018119,-2.001756272421646
TC-BPM1:POS.PX,1546418618.120105,-2.3126422426143245
TC-BPM1:POS.PX,1546418618.222097,-1.9099447936482945
TC-BPM1:POS.PX,1546418618.324082,-2.383119230310704
TC-BPM1:POS.PX,1546418618.426054,-2.2421450083752514
TC-BPM1:POS.PX,1546418618.52807,-2.4909372263229215
TC-BPM1:POS.PX,1546418618.630004,-2.3495107514836757
TC-BPM1:POS.PX,1546418618.731981,-2.489416176702937
TC-BPM1:POS.PX,1546418618.833963,-2.2575262788290185
TC-BPM1:POS.PX,1546418618.935936,-2.4356720556027276
TC-BPM1:POS.PX,1546418619.037892,-2.021228910180851
TC-BPM1:POS.PX,1546418619.138899,-2.2843294162903405
TC-BPM1:POS.PX,1546418619.240877,-2.1154791037942493
TC-BPM1:POS.PX,1546418619.343503,-2.617323972350746
TC-BPM1:POS.PX,1546418619.444821,-2.033879126785376
TC-BPM1:POS.PX,1546418619.546835,-2.0601261996942335
TC-BPM1:POS.PX,1546418619.647837,-2.1463067125669957
TC-BPM1:POS.PX,1546418619.749756,-2.2768983079982688
TC-BPM1:POS.PX,1546418619.851709,-2.2260322451342063
TC-BPM1:POS.PX,1546418619.953701,-1.9670666169356794
TC-BPM1:POS.PX,1546418620.05567,-2.2838914606869674
TC-BPM1:POS.PX,1546418620.157644,-2.251237322962262
TC-BPM1:POS.PX,1546418620.259655,-2.570171979358584
TC-BPM1:POS.PX,1546418620.361612,-2.200357796955853
TC-BPM1:POS.PX,1546418620.463584,-2.0463654269156226
TC-BPM1:POS.PX,1546418620.565559,-2.3297193597445824
TC-BPM1:POS.PX,1546418620.667569,-2.0823424180049313
TC-BPM1:POS.PX,1546418620.769525,-2.5899639162147787
TC-BPM1:POS.PX,1546418620.871501,-2.1793692724329734
TC-BPM1:POS.PX,1546418620.973509,-2.659778411970717
TC-BPM1:POS.PX,1546418621.075521,-2.1461080340627823
TC-BPM1:POS.PX,1546418621.177465,-2.1657538297409116
TC-BPM1:POS.PX,1546418621.279435,-1.9323967457023772
TC-BPM1:POS.PX,1546418621.381424,-2.4291604265574462
TC-BPM1:POS.PX,1546418621.483434,-2.467854209628954
TC-BPM1:POS.PX,1546418621.58541,-2.6594457030208796
TC-BPM1:POS.PX,1546418621.687352,-2.179353947172806
TC-BPM1:POS.PX,1546418621.789319,-1.792076926197025
TC-BPM1:POS.PX,1546418621.890298,-1.8249259088093481
TC-BPM1:POS.PX,1546418621.991281,-2.2974968086857164
TC-BPM1:POS.PX,1546418622.092256,-2.100629001999524
TC-BPM1:POS.PX,1546418622.193241,-1.8334307877763578
TC-BPM1:POS.PX,1546418622.294213,-1.9498066689000397
TC-BPM1:POS.PX,1546418622.3952,-2.4949549035659726
TC-BPM1:POS.PX,1546418622.496168,-1.8523728434284663
TC-BPM1:POS.PX,1546418622.597157,-1.980985474772732
TC-BPM1:POS.PX,1546418622.698129,-2.4013198462979344
TC-BPM1:POS.PX,1546418622.799134,-2.02122748566413
TC-BPM1:POS.PX,1546418622.900091,-1.8279813918879313
TC-BPM1:POS.PX,1546418623.001061,-2.6119245319482647
TC-BPM1:POS.PX,1546418623.102058,-1.8430126996565481
TC-BPM1:POS.PX,1546418623.203025,-2.397055541287637
TC-BPM1:POS.PX,1546418623.30403,-1.7314279682746685
TC-BPM1:POS.PX,1546418623.405034,-2.230976517073044
TC-BPM1:POS.PX,1546418623.505953,-2.216390567913236
TC-BPM1:POS.PX,1546418623.606912,-2.0189077085514633
TC-BPM1:POS.PX,1546418623.707905,-1.7587226875544297
TC-BPM1:POS.PX,1546418623.808874,-1.9180531247790145
TC-BPM1:POS.PX,1546418623.909851,-1.9203698581566901
TC-BPM1:POS.PX,1546418624.010841,-2.021534783084426
TC-BPM1:POS.PX,1546418624.111812,-2.02443738889685
TC-BPM1:POS.PX,1546418624.21279,-1.7625010256213065
TC-BPM1:POS.PX,1546418624.313784,-2.048944148470782
TC-BPM1:POS.PX,1546418624.414766,-2.832769554074093
TC-BPM1:POS.PX,1546418624.515753,-2.0884544892637087
TC-BPM1:POS.PX,1546418624.616724,-2.184210851472964
TC-BPM1:POS.PX,1546418624.717691,-2.2803707330973735
TC-BPM1:POS.PX,1546418624.818697,-2.1601326953430884
TC-BPM1:POS.PX,1546418624.919687,-2.5388351449310367
TC-BPM1:POS.PX,1546418625.020658,-1.8809559004502074
TC-BPM1:POS.PX,1546418625.121622,-2.114913008339561
TC-BPM1:POS.PX,1546418625.222595,-2.022335517475218
TC-BPM1:POS.PX,1546418625.323562,-2.1228185354885407
TC-BPM1:POS.PX,1546418625.424602,-2.280901005500745
TC-BPM1:POS.PX,1546418625.525507,-2.222076997890013
TC-BPM1:POS.PX,1546418625.626483,-2.4025424711664685
TC-BPM1:POS.PX,1546418625.727481,-1.9858343869040191
TC-BPM1:POS.PX,1546418625.82845,-1.9342694906591145
TC-BPM1:POS.PX,1546418625.929407,-2.365693449991416
TC-BPM1:POS.PX,1546418626.030376,-2.3962367267330174
TC-BPM1:POS.PX,1546418626.131362,-2.168417616733407
TC-BPM1:POS.PX,1546418626.232342,-1.8645147397203077
TC-BPM1:POS.PX,1546418626.333319,-2.371345777143674
TC-BPM1:POS.PX,1546418626.434325,-2.104891088563342
TC-BPM1:POS.PX,1546418626.535286,-2.068710037953277
TC-BPM1:POS.PX,1546418626.636258,-2.2947929749291345
TC-BPM1:POS.PX,1546418626.737232,-2.4590843687015815
TC-BPM1:POS.PX,1546418626.838212,-1.9931987557831345
TC-BPM1:POS.PX,1546418626.939197,-2.4399359402739194
TC-BPM1:POS.PX,1546418627.040165,-2.4104531476331923
TC-BPM1:POS.PX,1546418627.141167,-1.6940967017826118
TC-BPM1:POS.PX,1546418627.242143,-2.3209278867404053
TC-BPM1:POS.PX,1546418627.343157,-2.0944520759104304
TC-BPM1:POS.PX,1546418627.444113,-2.1649908740369583
TC-BPM1:POS.PX,1546418627.545071,-1.8924607353751064
TC-BPM1:POS.PX,1546418627.647088,-2.0391017195712378
TC-BPM1:POS.PX,1546418627.74806,-2.1201870646893592
TC-BPM1:POS.PX,1546418627.848998,-2.0504794688203547
TC-BPM1:POS.PX,1546418627.949972,-1.8659138617461135
TC-BPM1:POS.PX,1546418628.050962,-2.007091573446029
TC-BPM1:POS.PX,1546418628.15195,-2.245674501517938
TC-BPM1:POS.PX,1546418628.252928,-2.059761516436963
TC-BPM1:POS.PX,1546418628.353909,-1.9909369083572763
TC-BPM1:POS.PX,1546418628.45491,-1.8927235952112271
TC-BPM1:POS.PX,1546418628.555855,-1.7103309609921975
TC-BPM1:POS.PX,1546418628.656843,-2.351918622200753
TC-BPM1:POS.PX,1546418628.757805,-1.8670823582981455
TC-BPM1:POS.PX,1546418628.859781,-1.8382105409573435
TC-BPM1:POS.PX,1546418628.960767,-2.161739863740992
TC-BPM1:POS.PX,1546418629.062737,-1.983242325759379
TC-BPM1:POS.PX,1546418629.164724,-2.4830783330820823
TC-BPM1:POS.PX,1546418629.266736,-2.1255744794354086
TC-BPM1:POS.PX,1546418629.368701,-2.4057210613517745
TC-BPM1:POS.PX,1546418629.470668,-2.1422221274753093
TC-BPM1:POS.PX,1546418629.572644,-1.8484734678801906
TC-BPM1:POS.PX,1546418629.674635,-2.1116798331641276
TC-BPM1:POS.PX,1546418629.776599,-2.114035727014618
TC-BPM1:POS.PX,1546418629.878602,-2.0705768773948603
TC-BPM1:POS.PX,1546418629.980578,-1.7277802337737345
TC-BPM1:POS.PX,1546418630.082587,-2.1488141114348367
TC-BPM1:POS.PX,1546418630.184554,-2.0191832829363885
TC-BPM1:POS.PX,1546418630.286508,-2.027737064195705
TC-BPM1:POS.PX,1546418630.388515,-2.2927587982385247
TC-BPM1:POS.PX,1546418630.490429,-2.2951738894820615
TC-BPM1:POS.PX,1546418630.592411,-2.36553227091603
TC-BPM1:POS.PX,1546418630.694387,-2.0037826527889835
TC-BPM1:POS.PX,1546418630.796367,-2.0334755252750254
TC-BPM1:POS.PX,1546418630.898355,-2.141258286572959
TC-BPM1:POS.PX,1546418631.000331,-2.3761105152703683
TC-BPM1:POS.PX,1546418631.102325,-2.200745371200764
TC-BPM1:POS.PX,1546418631.204503,-1.8193363056526286
TC-BPM1:POS.PX,1546418631.306271,-2.5665928037891645
